fit_time,predict_time,score_time,score,MAE,MSE,RMSE,feature,cpu
30957.698822021484,1994.6098327636719,2131.223678588867,1.0,9.339777046382855e-05,1.8340370623352817e-08,0.0001354266244995895,19,Intel(R) Xeon(R) CPU @ 2.20GHz
2507.6866149902344,1386.1656188964844,1631.4983367919922,1.0,9.339798931857028e-05,1.834042743342428e-08,0.0001354268342442674,18,Intel(R) Xeon(R) CPU @ 2.20GHz
2442.3599243164062,1293.8976287841797,1633.8825225830078,1.0,1.0716703642780583e-05,2.3723654248167087e-10,1.5402484945023346e-05,17,Intel(R) Xeon(R) CPU @ 2.20GHz
2368.450164794922,1276.4930725097656,1580.4767608642578,1.0,1.741959003993543e-05,6.56904758686617e-10,2.563015330985394e-05,16,Intel(R) Xeon(R) CPU @ 2.20GHz
3096.8189239501953,1668.2147979736328,1826.0478973388672,1.0,1.579370970527331e-05,5.164305236053656e-10,2.2725107779840466e-05,15,Intel(R) Xeon(R) CPU @ 2.20GHz
2770.1854705810547,2002.2392272949219,1646.280288696289,1.0,1.588820790251096e-05,5.038796457336458e-10,2.2447263658041838e-05,14,Intel(R) Xeon(R) CPU @ 2.20GHz
3892.8985595703125,1251.220703125,1717.3290252685547,1.0,1.807883381843567e-05,7.234121842646564e-10,2.68963228762717e-05,13,Intel(R) Xeon(R) CPU @ 2.20GHz
2705.3356170654297,1233.816146850586,1702.3086547851562,1.0,1.2112816390678442e-05,3.2423611208924786e-10,1.8006557474688153e-05,12,Intel(R) Xeon(R) CPU @ 2.20GHz
2802.610397338867,1276.7314910888672,1736.1640930175781,1.0,1.36968990166982e-05,4.0789827012293703e-10,2.0196491530039e-05,11,Intel(R) Xeon(R) CPU @ 2.20GHz
2892.017364501953,1620.2926635742188,1726.388931274414,1.0,1.4090196539958318e-05,4.4290042757431926e-10,2.1045199632560373e-05,10,Intel(R) Xeon(R) CPU @ 2.20GHz
2356.290817260742,1116.7526245117188,1499.8912811279297,1.0,1.4090786377588908e-05,4.427847038098361e-10,2.1042450042945e-05,9,Intel(R) Xeon(R) CPU @ 2.20GHz
2644.062042236328,1145.1244354248047,1533.7467193603516,1.0,9.227047363917033e-06,1.6797510210032894e-10,1.2960520903896145e-05,8,Intel(R) Xeon(R) CPU @ 2.20GHz
2481.4605712890625,1099.8249053955078,1446.9623565673828,1.0,1.0065264965912017e-05,1.7145064508634315e-10,1.3093916338756069e-05,7,Intel(R) Xeon(R) CPU @ 2.20GHz
2465.2481079101562,1061.9163513183594,1481.771469116211,1.0,8.329244398434336e-06,1.0744448662303804e-10,1.0365543238202136e-05,6,Intel(R) Xeon(R) CPU @ 2.20GHz
2571.582794189453,1120.0904846191406,1532.5546264648438,0.9999990368852714,17.159228579203287,682.238840803881,26.119702157641097,5,Intel(R) Xeon(R) CPU @ 2.20GHz
2670.2880859375,1137.2566223144531,1691.1029815673828,0.9999862958127252,82.83069292704265,9707.596159048375,98.52713412582533,4,Intel(R) Xeon(R) CPU @ 2.20GHz
2089.5004272460938,1010.6563568115234,1388.3113861083984,0.9999607055150894,135.55366439819335,27834.922505110197,166.83801277020234,3,Intel(R) Xeon(R) CPU @ 2.20GHz
2103.8055419921875,999.2122650146484,2560.3771209716797,0.8867418826899541,6991.113688151042,80228330.4024946,8957.026872935829,2,Intel(R) Xeon(R) CPU @ 2.20GHz
2501.249313354492,1482.0098876953125,1824.3789672851562,0.8899154232589379,6874.74636279701,77980298.49660341,8830.645417895761,1,Intel(R) Xeon(R) CPU @ 2.20GHz
3255.8441162109375,2764.9402618408203,2081.632614135742,1.0,9.339776039875384e-05,1.8340369882546834e-08,0.00013542662176450697,20,Intel(R) Xeon(R) CPU @ 2.20GHz
