fit_time,predict_time,score_time,score,MAE,MSE,RMSE,feature,cpu
2001.2855529785156,996.5896606445312,998.4970092773438,1.0,9.339770122096525e-05,1.8340342918998482e-08,0.0001354265222140718,19,1.60GHz
999.45068359375,999.6891021728516,2002.716064453125,1.0,9.339893385913456e-05,1.8340841083313877e-08,0.00013542836144365728,18,1.60GHz
1999.1397857666016,2001.5239715576172,0.0,1.0,1.0716714162602633e-05,2.372367879443096e-10,1.5402492913301717e-05,17,1.60GHz
0.0,10309.457778930664,1209.4974517822266,1.0,1.7408731885855862e-05,6.559910199997526e-10,2.5612321644078903e-05,16,1.60GHz
0.0,0.0,0.0,1.0,1.5792157500982285e-05,5.162781200526249e-10,2.27217543348357e-05,15,1.60GHz
0.0,14533.519744873047,2028.2268524169922,1.0,1.5891995280981065e-05,5.04115011337967e-10,2.2452505680613178e-05,14,1.60GHz
997.7817535400391,1002.0732879638672,2042.531967163086,1.0,1.8079361567894617e-05,7.23396931274813e-10,2.689603932319428e-05,13,1.60GHz
2000.3318786621094,1000.8811950683594,2114.2959594726562,1.0,1.2112606479301272e-05,3.2421587983166295e-10,1.8005995663435635e-05,12,1.60GHz
0.0,0.0,0.0,1.0,1.369922732313474e-05,4.079519470209329e-10,2.0197820353219623e-05,11,1.60GHz
0.0,0.0,16081.571578979492,1.0,1.4089203129212061e-05,4.4289236505665184e-10,2.1045008079272666e-05,10,1.60GHz
0.0,0.0,0.0,1.0,1.4089606702327729e-05,4.4284214661902597e-10,2.1043814925507827e-05,9,1.60GHz
0.0,0.0,12909.412384033203,1.0,9.227047363917033e-06,1.6797510210032894e-10,1.2960520903896145e-05,8,1.60GHz
2000.0934600830078,0.0,2000.3318786621094,1.0,1.0065264723380096e-05,1.7145060820365753e-10,1.3093914930365843e-05,7,1.60GHz
1000.6427764892578,1009.4642639160156,998.4970092773438,1.0,8.329245307929038e-06,1.074444942683963e-10,1.0365543606989279e-05,6,1.60GHz
3140.4495239257812,0.0,0.0,0.9999990368852759,17.159228642781574,682.2388376073314,26.119702096450705,5,1.60GHz
11187.076568603516,999.6891021728516,1310.8253479003906,0.9999862958131858,82.83068987528483,9707.595832800598,98.52713247020131,4,1.60GHz
0.0,0.0,0.0,0.9999607055150894,135.55366439819335,27834.922505110197,166.83801277020234,3,1.60GHz
0.0,13430.118560791016,1057.6248168945312,0.8867418826899541,6991.113688151042,80228330.4024946,8957.026872935829,2,1.60GHz
1991.5103912353516,0.0,2016.7827606201172,0.8899154232589379,6874.74636279701,77980298.49660341,8830.645417895761,1,1.60GHz
1001.1196136474609,998.7354278564453,2000.3318786621094,1.0,9.339785128759104e-05,1.8340400261445166e-08,0.00013542673392445513,20,1.60GHz
