fit_time,predict_time,score_time,score,MAE,MSE,RMSE,feature,cpu
1140.594482421875,2010.345458984375,3580.5702209472656,1.0,9.339784489081164e-05,1.8340404233162985e-08,0.00013542674858816844,19,3.00GHz
6906.270980834961,2537.0121002197266,1948.5950469970703,1.0,9.339875829634063e-05,1.834074328709423e-08,0.00013542800038062377,18,3.00GHz
2478.361129760742,817.7757263183594,1507.5206756591797,1.0,1.0716705310187535e-05,2.3723610437170304e-10,1.540247072296205e-05,17,3.00GHz
2897.7394104003906,0.0,1293.6592102050781,1.0,1.741061811723436e-05,6.561918987555227e-10,2.5616242869623223e-05,16,3.00GHz
0.0,0.0,0.0,1.0,1.5794071320366735e-05,5.165023593535841e-10,2.272668826190002e-05,15,3.00GHz
0.0,0.0,5941.867828369141,1.0,1.5894146054051815e-05,5.041722670120831e-10,2.245378068415391e-05,14,3.00GHz
0.0,6147.861480712891,549.0779876708984,1.0,1.8078124655100206e-05,7.232018685839514e-10,2.6892412844219676e-05,13,3.00GHz
0.0,6271.3623046875,0.0,1.0,1.2114734333105541e-05,3.244535936257748e-10,1.80125954161463e-05,12,3.00GHz
648.9753723144531,1305.5801391601562,53.882598876953125,1.0,1.3698212812111403e-05,4.0795944652351e-10,2.0198006003650707e-05,11,3.00GHz
4574.53727722168,2522.4685668945312,657.5584411621094,1.0,1.408906870589514e-05,4.42835334400359e-10,2.1043653066907347e-05,10,3.00GHz
0.0,4050.4932403564453,2099.275588989258,1.0,1.408960791498733e-05,4.428320553633675e-10,2.1043575156407417e-05,9,3.00GHz
7546.424865722656,1035.451889038086,0.0,1.0,9.225534752962023e-06,1.6795915290110203e-10,1.2959905589976418e-05,8,3.00GHz
0.0,0.0,0.0,1.0,1.0065276607444199e-05,1.7145087311875917e-10,1.3093925046324313e-05,7,3.00GHz
1563.5490417480469,0.0,3301.382064819336,1.0,8.329250825530228e-06,1.074445976592629e-10,1.036554859422611e-05,6,3.00GHz
0.0,0.0,4134.893417358398,0.9999990368852982,17.159228403297067,682.2388217943763,26.11970179374903,5,3.00GHz
6293.773651123047,1141.3097381591797,1045.9423065185547,0.9999862958132925,82.83069211348969,9707.59575724652,98.52713208678368,4,3.00GHz
0.0,0.0,0.0,0.9999607055161842,135.5536614829553,27834.92172961599,166.83801044610905,3,3.00GHz
0.0,0.0,0.0,0.8867418786387793,6991.1137681946775,80228333.27221385,8957.027033129567,2,3.00GHz
2815.0081634521484,524.7592926025391,1087.9039764404297,0.8899154232589379,6874.74636279701,77980298.49660341,8830.645417895761,1,3.00GHz
2059.459686279297,4714.488983154297,1536.8461608886719,1.0,9.33980533166808e-05,1.8340488823273505e-08,0.0001354270608972723,20,3.00GHz
